zinc_id,smiles
ZINC000033953223,COC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1C#C[C@@H](O)CCC1CCCCC1
ZINC000000000246,CN(C)CCO[C@](C)(c1ccccc1)c1ccc(Br)cc1
ZINC000000000378,CC[C@](Br)(C(N)=O)C(C)C
ZINC000000000982,CCN1CCc2nc(N)oc2CC1
ZINC000000001378,CCc1ccccc1-n1c(C)nc2ccccc2c1=O
ZINC000000001530,O=C(O)CC1(CO)CCCCC1
ZINC000000001845,CN1CCC(C(=O)N2c3ccccc3NC(=O)c3cccnc32)CC1
ZINC000000002170,Cc1cc(Br)c(O)c2ncccc12
ZINC000000004725,CCN1CCN=C1CNC(=O)c1cc(Cl)c(N)cc1OC
ZINC000000008849,O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2
ZINC000000537888,C[C@H]1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CC[C@@]1(C(=O)O)c1ccccc1
ZINC000022463231,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(CCN3CCN(C(c4ccccc4)c4ccccc4)CC3)nc21
ZINC000026893148,O=C(O)CCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
ZINC000034228435,Cc1ccccc1SCC[C@H](Oc1ccc(C(F)(F)F)cc1)C(=O)O
ZINC000000000319,C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1
ZINC000000000387,CCc1ccc(C(=O)[C@H](C)CN2CCCC2)cc1
ZINC000000000551,Oc1ccc([C@H](O)CNC2CCC2)cc1O
ZINC000000000647,O=C(OCCN1CCCCC1)[C@H]1CC1(c1ccccc1)c1ccccc1
ZINC000000000770,Cc1csc2ccc3[nH]c4c(c3c12)CN(C)CC4
ZINC000000000826,C=CC[C@@]1(C(=O)NC(N)=O)C[C@@H](C)OC1=O
ZINC000000000952,COc1ccccc1C(C(=O)O)=C(c1ccccc1)c1ccccc1
ZINC000000001142,CC(=O)Nn1cnc(=O)c(C#N)c1
ZINC000022463356,Cc1nn(C)c2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O
ZINC000022860107,CC[C@@H](C(=O)O[C@@H](COCC(C)C)CN1CCN(C)CC1)c1ccccc1
ZINC000169292714,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)CCCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
ZINC000027877188,C=CC[C@@H]1CN(C)CC[C@@]1(OC(=O)CC)c1ccccc1
ZINC000029333288,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[C@@H](N)C3)nc21
ZINC000030690591,C/C=C/[C@H]1[C@@H](C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C
ZINC000030690901,CCCCC[C@](C)(O)/C=C/[C@H]1CCC(=O)[C@@H]1CCCCCCC(=O)O
ZINC000030691265,O=C1NC(=O)/C(=C\c2ccccc2)C2=C1CCCC2
ZINC000030691716,CC(=O)OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1
ZINC000031297912,O=C1CCN=C2C[C@@H](c3ccccc3)CN12
ZINC000031425112,O=C(CCCN1CCN(c2cc3ccccc3cn2)CC1)c1ccc(F)cc1
ZINC000031490235,CC[C@@H](c1cc(F)c(OC(C)=O)c(OC(C)=O)c1)[C@@H](C)c1cc(F)c(OC(C)=O)c(OC(C)=O)c1
ZINC000031495045,Cc1ccc(C(=O)Oc2cc(OC(=O)c3ccc(C)cc3)cc([C@H](O)CNC(C)(C)C)c2)cc1
ZINC000031538745,COc1ccc2c(c1)[C@@]1(C)CCCC[C@H]1NC2
ZINC000031541373,Clc1ccc(C[C@H]2CC[C@H]3CCCCN3C2)cc1
ZINC000031570064,CCCN(CCC)C(=O)[C@H](Cc1ccc(OCCCN(CC)CC)cc1)NC(=O)c1ccccc1
ZINC000031601255,CCCC(=O)NCCc1ccc(S(=O)(=O)N2CCN([C@H]3CC=CCC3)C2=N)cc1
ZINC000252672791,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@]4(C)[C@H]3CC[C@@]21C
ZINC000015449307,CC[C@@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
ZINC000017192049,NC[C@H](Cl)[C@@H](O)c1c[nH]c(N)n1
ZINC000019167667,C[C@H](Cc1ccccc1)NN
ZINC000019367106,CO[C@@H](CN1CCN(CC[C@@H](O)c2ccccc2)CC1)c1ccccc1
ZINC000019368427,CC(C)CCOC(=O)[C@@H](NCCN1CCCC1)c1ccccc1
ZINC000022446639,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
ZINC000022462965,CO[C@H](CN1CCN(CC[C@H](O)c2ccccc2)CC1)c1ccccc1
ZINC000022463090,C[C@H](C(=O)OCCN1CCN(CCOC(=O)[C@H](C)c2cccc3ccccc23)CC1)c1cccc2ccccc12
ZINC000022463208,OCCN1CCCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
ZINC000034997457,COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1
ZINC000000000012,O=C(C[S@@](=O)C(c1ccccc1)c1ccccc1)NO
ZINC000000004294,CN(CC(=O)NO)C(=O)[C@@H]1CCCC[C@@H]1C(=O)O
ZINC000011616858,c1ccc2c(c1)CCc1cccc3c1[C@H]2CN1CCCC[C@@H]31
ZINC000011677306,Cc1ccc2c(c1O)N[C@H](O)[C@H]1CC(/C=C/C(N)=O)=CN1C2=O
ZINC000013209374,CCCCC[C@H](/C=C/n1ccnc1)OCc1ccccc1
ZINC000253476173,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
ZINC000257520575,CO[C@@H]1C(=O)[C@@H](C)C[C@@H](C)/C=C/C=C/C=C(\C)[C@H](OC)C[C@H]2CC[C@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H]1O
ZINC000008197360,CC[C@@](C)(C#N)O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
ZINC000008860446,O=C(O)CCC/C=C\C/C=C\C=C\[C@@H](O)C/C=C\CCCCCO
ZINC000005752379,C[C@H]1c2ccccc2[C@@H](CCCN(C)C)c2cc(C(F)(F)F)ccc21
ZINC000005764912,C[S@](=O)c1ccc2oc3ccc(C(=O)O)cc3c(=O)c2c1
ZINC000005821056,CCCCC[C@@](C)(O)/C=C/[C@@H]1CCC(=O)[C@@H]1CCCCCCC(=O)O
ZINC000005848170,CCN(CC)CC[C@]1(c2ccccc2)CCC(=O)NC1=O
ZINC000005957953,CN(C)CC[C@H](Oc1ccc2oc(-c3ccccc3)cc(=O)c2c1)c1ccccc1
ZINC000005997168,COC(=O)/N=c1\[nH]c2ccc(SC3CCCCC3)cc2[nH]1
ZINC000006037080,C[C@@H](C(=O)O)c1ccc(C(=O)c2cccs2)c(Cl)c1
ZINC000006071252,Cc1ccc([C@H](O)[C@H](C)NCCCc2ccccc2)cc1O
ZINC000006485600,C/C=C(\c1ccccc1)c1ccc2nc(N)n(S(=O)(=O)C(C)C)c2c1
ZINC000008214362,[N-]=[N+]=NCC(=O)N[C@@H](CO)[C@@H](O)c1ccc([N+](=O)[O-])cc1
ZINC000008214482,CC[C@H]1O[C@@H](/C(C)=C/[C@H](C)/C=C/[C@@H]2[C@@H](/C=C/[C@@H]3O[C@H](CC(=O)O)C[C@H](O)[C@H]3O)[C@@H]2C)CC=C1C
ZINC000008214540,CCOC(=O)NC1=C(N2CC2)C(=O)C(NC(=O)OCC)=C(N2CC2)C1=O
ZINC000008214602,O=[N+]([O-])OC[C@@H](O[N+](=O)[O-])[C@@H](O[N+](=O)[O-])[C@H](O[N+](=O)[O-])[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]
ZINC000008214666,CN(C)c1nc(NP(=O)(N2CC2)N2CC2)c2c(ncn2C)n1
ZINC000011616987,O[C@](C1=NCCN1)(c1ccc(Cl)cc1)c1ccccn1
ZINC000257520576,CO[C@@H]1C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@H](OC)C[C@H]2CC[C@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H]1O
ZINC000008198843,CC[C@](C)(C#N)O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
ZINC000013543718,Nc1ncnc2c1ncn2O[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
ZINC000013884467,Cc1nc2ccc([C@@H](c3ccccc3)n3ccnc3)cc2[nH]1
ZINC000004626661,CNc1cc(OC)c(C(=O)N[C@H]2CN3CCC2CC3)cc1Cl
ZINC000004633608,CS(=O)(=O)Nc1ccc(OC[C@H](O)CNCCOc2ccc(-n3ccnc3)cc2)cc1
ZINC000004933725,CC(=O)O[C@@H]1C=CC(=O)O[C@@H]1[C@H]1O[C@@H]1C
ZINC000005132894,C/C=C/SC
ZINC000005223451,C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
ZINC000005377707,C[S+](C)CCOC(=O)[C@H](c1ccccc1)C1CCCCC1
ZINC000005424997,CSc1nsc(Sc2nc3c(Cl)c(Cl)cc(Cl)c3[nH]2)n1
ZINC000005426212,O=[P@@H](O)[C@@H](O)[C@H]1CC=CCC1
ZINC000005461015,CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3nc12
ZINC000005514885,CCCC[C@](C)(OC)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
ZINC000005599001,CC[C@H](C)N(C[C@H](O)c1cccn1Cc1ccccc1Cl)[C@H](C)CC
ZINC000150339700,C=Cc1c(C)c2cc3nc(c(CC(=O)N[C@@H](CC(=O)O)C(=O)O)c4[nH]c(cc5nc(cc1[nH]2)c(C)c5CC)c(C)c4C(=O)O)[C@H](CCC(=O)O)[C@@H]3C
ZINC000005649138,CCC[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C[C@H](C)[C@]4(C)[C@H]3CC[C@@]21C
ZINC000005650539,CCOC(=O)C1(c2ccccc2)CCN(C[C@@H](O)c2ccccc2)CC1
ZINC000005706462,C[C@@H]1C[C@H](c2ccc(Cl)cc2)[C@@H](c2ccccc2)C(=O)O1
ZINC000005751140,C[C@H](C=C(c1cccs1)c1cccs1)N(C)C
ZINC000038192538,Cc1nc(O)c(C#N)cc1-c1ccc2nccn2c1
ZINC000004215099,Cc1cc(Br)cc(C(N)=O)c1O
ZINC000004215204,CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
ZINC000004215243,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CS/C=C/C#N)[C@H]2SC1
ZINC000004215339,COc1ccc2cc([C@H](C)C(=O)SC[C@H](NC(C)=O)C(=O)O)ccc2c1
ZINC000004215464,CC1=C[C@H]2[C@@H]3C[C@@H](C)[C@](O)(C(=O)COC(=O)c4cccc(S(=O)(=O)O)c4)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)Cc3cnn(-c4ccccc4)c3C=C12
ZINC000004215585,CCN(CC)CCOC1(c2ccccc2)CCN(CCNc2ccccc2)CC1
ZINC000004215758,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CC(C)=C4CC5(CC[C@]4(C)[C@H]3CC[C@@]21C)OCCO5
ZINC000004216034,CCCC/N=C(/c1cc(Cl)ccc1O)c1ccccc1Cl
ZINC000004216446,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](F)C[C@]2(C)[C@H]1C(=O)CO
ZINC000004216585,O=C(O)CCCCCCCCCCCCCCCI
ZINC000004216721,CN1C[C@H](CC#N)C[C@@H]2c3cccc4[nH]c(Cl)c(c34)C[C@H]21
ZINC000004216818,C[C@@H]1O[C@@H](O[C@H]2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2ccccc2C4=O)C[C@H](N)[C@@H]1O
ZINC000004216933,CNCCCN1Cc2ccccc2Cc2ccccc21
ZINC000004217221,CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O
ZINC000004217315,CCc1c(C)[nH]c2c1C(=O)[C@@H]1CN(C)CC[C@H]1C2
ZINC000004217346,Cc1cnn(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
ZINC000004217400,CN(C)Cc1ccc(CSCCNC(=O)c2ccc[n+]([O-])c2)o1
ZINC000004217469,CC[n+]1c(/C=C/c2ccc(N3CCCC3)cc2)cccc1/C=C/c1ccc(N2CCCC2)cc1
ZINC000004217485,NS(=O)(=O)c1ccc(NC(=O)OCCO)cc1
ZINC000004217521,CN1CCN(C2=Nc3cscc3/C(=C/C#N)c3cscc32)CC1
ZINC000004217582,CCc1nnc(/C(C)=C/c2ncc([N+](=O)[O-])n2C)s1
ZINC000004217609,CO[C@H]1C[C@@H]2C[C@H](OC(=O)C(O)(c3ccccc3)c3ccccc3)C[C@H]1[N+]2(C)C
ZINC000008214608,O=S(=O)(O)CI
ZINC000005339521,C=C1C[C@]23CC[C@H]4[C@@](C)(C(=O)O)CCC[C@@]4(C)[C@H]2CC[C@@]1(O)C3
ZINC000005353095,CC(C)(C)NC[C@H](O)c1ccc(O)c(CS(C)(=O)=O)c1
ZINC000004213110,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
ZINC000004213380,CCOP(=O)(CCCCCCOc1ccc(OC)cc1Cl)OCC
ZINC000004213493,C[S+](C)CCOC(=O)[C@@H](c1ccccc1)C1CCCCC1
ZINC000004213681,Clc1ccccc1[C@@H](c1ccc(-c2ccccc2)cc1)n1ccnc1
ZINC000004213820,COC(=O)[C@H]1[C@H](OC)[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)C[C@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@@H]3C[C@H]21
ZINC000004213864,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4OC)CC3)c2cc1OC
ZINC000004213908,CO[C@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC1CC1
ZINC000004213953,COc1cc2c(cc1OC)C(c1ccc(N)cc1)=NN=C(C)C2
ZINC000004214008,O=C1N=C2SCCN2C(=O)[C@@H]1Cc1ccc(Cl)cc1
ZINC000004214101,CCCC[C@@H](O)/C=C(C)/C=C/C=C/C(=O)N1CCCC1=O
ZINC000004214174,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
ZINC000004214225,C=CCC1(C[C@@H](C)O)C(=O)NC(=O)NC1=O
ZINC000004214343,CC(C)N(CCO/N=C1\CCCCC\C1=C/c1ccccc1)C(C)C
ZINC000004214359,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](CN1C(=O)CCC1=O)NS2(=O)=O
